Adv Topics,PKID,Ligeiros,Symphone Concertante,Riders on the Storm,Quarantine Speech,Born Under a Bad Sign,Blue Train,Putty Boy Strut,Rapture's Delight,Space Cowboy,Electric Funeral,Feeling Good,Kiss,Rain On Me,Got it Good,Magazine,Higher Ground,I'll Never Smile Again,Scrubs,Treaty,Sunshine,Survivor,Moonlight Sonata,Kyoto,Broken Bearings,Strasbourg/ St. Denis,Cabin Fever,Carry on My Wayward Son,Pollyana,Circles,Walking On A Dream,Time Alone With You,Touch-Tone Telephone,Young Dumb and Broke,Coast of Carolina,Clash,15 Step,Pacific Coast Party,For What It's Worth,Campus,We're Going to Be Friends,Sweden,Miami 2017,Coffee Bean,Cayendo,Carolina In My Mind,Hammer To Fall,Rollin' Stone
y,student9279,3,5,4,4,5,5,2,3,5,3,4,5,5,4,3,5,3,4,2,3,4,3,4,3,5,2,4,4,3,5,5,5,2,4,5,4,3,5,3,5,5,4,5,3,4,5,5
,student8912,,,,4,1,1,2,3,1,1,1,1,1,2,1,1,1,5,1,2,4,2,4,2,1,3,1,1,5,4,1,1,5,2,1,1,1,1,4,5,1,1,1,1,1,1,1
,student7456,,,,5,3,5,2,3,5,3,5,5,4,5,1,4,5,5,3,2,5,4,4,3,3,3,3,3,5,3,3,,,,,3,2,5,5,5,5,2,2,4,3,4,4
,student2398,3,,3,4,3,2,4,5,3,,4,4,3,4,3,4,2,5,1,3,5,1,3,3,2,4,5,3,5,5,3,4,4,2,3,,,3,3,3,5,3,4,2,4,4,4
y,student1397,2.5,3,2,1,3,2,1,2,2,2,4,3,3,3,4,3,3,3,3,2,3,4,3,3,3,4,3,2,4,5,2,4,2,4,2,3,3,4,4,4,4,5,3,3,5,5,5
,student3243,,,,5,4,4,3,4,4,3,4,3,4,4,3,4,4,4,4,5,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,5,4,5,4,4,5,5
,student9433,,,,,3,,3,3,3,3,4,2,3,3,2,2,4,2,2,1,2,4,1,1,3,2,2,1,2,4,1,1,1,1,2,,,,,,,1,1,1,1,1,1
,student577,,,,3,3,4,4,,5,1,5,5,3,5,3,5,5,5,3,4,5,5,4,2,4,5,4,3,5,5,4,2,5,4,2,2,4,3,4,4,4,5,5,5,4,4,4
,student3752,3,,3,3,3,4,3,,4,1,5,4,4,4,3,3,5,5,4,2,5,4,3,1,3,1,2,4,5,5,3,2,4,2,2,2,3,2,3,4,1,3,3,2,3,4,4
,student9872,4,,4,5,2,2,5,5,5,4,5,4,5,4,3,2,5,5,1,5,3,3,5,5,3,5,2,3,5,5,2,4,4,4,3,3,5,2,5,5,5,3,4,4,2,2,2
,student9131,3,,4,,2,5,4,2,4,2,4,2,4,2,1,3,4,2,3,3,1,4,2,1,5,2,2,3,2,2,4,1,2,3,3,4,2,2,2,2,5,2,4,2,4,2,2
y,student4157,3,1,4,3,4,5,1,4,4,3,,5,3,3,1,4,2,4,2,3,2,3,1,1,4,2,4,2,3,1,3,5,3,2,2,2,5,5,2,3,5,4,4,3,2,3,3
y,student5231,3,2,2,4,3,3,4,4,,3,3,3,5,3,5,3,4,4,5,5,4,4,5,3,3,3,4,4,4,4,2,3,3,4,1,2,3,2,3,3,2,5,2,3,4,2,2
,student711,,,,1,3,3,1,2,2,3,4,2,3,2,3,2,3,1,4,3,1,5,1,4,2,2,5,2,4,2,3,2,4,3,2,1,1,3,2,4,3,2,2,3,4,3,3
,student5346,3,,5,2,4,4,2,3,4,3,4,3,5,4,2,5,4,4,3,3,3,5,4,3,4,3,5,2,5,4,5,3,4,3,2,3,3,3,4,4,5,3,4,4,4,4,4
,student5414,4,,4,2,4,5,2,2,4,5,5,4,2,1,3,5,4,2,3,1,1,5,2,1,5,2,3,2,4,4,4,3,4,2,3,,,5,3,5,2,3,3,3,4,2,2
,student7256,2,,5,3,4,,2,,3,3,3,5,2,2,2,5,3,5,2,3,3,,,3,3,3,5,3,4,4,2,2,3,,,3,3,5,3,,,3,3,2,4,4,4
,student9147,,,,2,4,4,1,2,3,3,5,3,3,4,3,4,4,4,2,4,3,4,3,2,4,4,4,4,4,4,3,3,3,3,4,3,4,4,3,3,4,4,4,3,4,4,4
y,student9550,2,4,5,2,4,5,2,3,4,5,5,4,4,3,3,3,4,2,4,5,2,5,3,2,5,5,4,4,5,5,3,2,5,3,1,4,5,5,5,5,5,5,5,4,5,5,5
,student2136,,,,4,4,4,2,5,5,1,3,3,2,4,1,2,1,4,1,4,3,1,3,1,4,3,3,2,3,4,3,2,4,2,2,2,1,2,2,2,4,2,4,2,2,1,1
,student4310,2,,3,3,4,4,2,2,4,2,2,2,3,4,4,3,4,3,1,2,3,3,4,3,4,3,2,4,2,3,2,5,3,3,5,1,3,4,4,2,4,2,3,2,2,3,3
y,student1890,4,3,3,2,2,1,2,3,3,4,4,5,3,2,4,2,1,3,4,2,3,5,4,2,4,3,5,4,2,5,2,3,3,3,1,5,4,4,5,5,5,4,3,2,4,5,5
,student5592,3,,4,4,,3,3,1,2,4,5,5,4,5,2,4,2,5,4,1,5,4,4,5,5,3,4,4,5,4,5,5,5,3,5,3,4,4,5,2,4,4,5,4,5,5,5
y,student7408,3,4,3,5,4,2,4,2,3,2,2,3,4,5,5,2,3,3,3,4,4,5,5,2,2,5,1,4,5,5,5,2,5,4,3,5,3,2,4,4,5,3,5,5,2,4,4
,student335,3,,3,,5,4,2,3,4,3,4,3,4,3,4,4,3,3,2,4,4,2,4,3,4,4,3,4,5,4,4,3,5,2,5,2,3,3,3,4,5,2,4,2,3,3,3
,student8447,3,4,4,1,4,5,1,5,4,,5,4,4,3,4,5,3,4,5,4,3,4,5,4,5,4,4,4,4,,,,,,,3,2,4,4,5,5,4,4,3,5,4,4
y,student632,4,2,3,3,2,3,1,3,4,3,4,4,5,4,3,2,4,4,2,4,3,5,5,4,5,5,3,3,5,5,3,2,5,5,2,1,2,2,2,1,4,3,3,2,2,2,2
,student613,4,,3,3,4,3,2,4,2,1,4,,,,,,,5,2,,,5,2,2,3,4,5,4,4,3,4,4,5,4,4,2,2,5,5,5,3,3,3,4,5,2,2
,student1565,,,,4,3,2,2,3,1,1,2,3,2,2,1,3,1,2,1,2,3,3,2,3,2,2,3,1,2,4,2,1,4,2,1,4,1,2,3,3,3,2,2,3,2,2,2
,student9522,3,2,4,4,2,2,1,,4,2,5,4,3,2,2,5,4,5,4,2,5,5,2,4,3,2,2,2,4,4,5,2,4,3,2,2,3,3,4,5,3,2,3,3,3,2,2
,student8991,5,,3,1,1,4,1,1,4,2,3,4,4,4,2,3,2,2,1,2,3,4,1,1,4,3,3,2,3,5,3,2,1,1,1,3,1,1,1,3,1,2,3,4,1,4,4
,student4886,2,,2,3,3,2,2,4,3,3,4,4,4,4,3,4,2,5,2,4,5,3,4,3,2,4,4,3,4,4,4,2,5,4,2,3,4,3,5,5,4,3,4,4,3,4,4
,student4767,,,,2,3,2,4,5,4,3,4,5,4,3,4,4,2,2,1,4,2,2,3,1,2,4,3,2,5,5,4,2,5,3,2,1,1,3,3,5,3,2,4,3,2,3,3
,student5504,2,,2,3,2,2,3,3,3,2,4,3,1,1,3,1,1,1,1,2,2,1,3,3,1,2,4,1,4,4,1,2,3,2,4,2,4,2,1,3,5,1,2,1,1,2,2
,student255,,,,5,3,3,3,5,4,3,4,3,5,5,3,2,2,5,2,4,5,1,3,2,1,4,1,2,5,4,4,1,5,2,1,2,2,1,2,3,2,2,3,5,1,3,3
,student1300,2,,4,2,3,4,,3,4,3,4,2,5,3,3,4,5,3,4,4,2,5,1,2,3,2,2,1,1,1,2,3,2,1,1,1,2,5,2,3,5,2,1,1,2,3,3
y,student914,3,1,3,4,2,1,3,3,3,4,3,2,5,2,3,2,3,3,2,3,4,3,4,5,2,,,,,3,3,4,2,3,5,2,4,2,4,2,5,3,2,2,4,1,1
,student8870,,,,4,2,4,3,1,2,3,4,3,3,1,4,5,4,2,2,2,1,4,5,3,4,5,5,,,5,3,2,3,5,1,4,3,3,5,4,4,2,2,3,2,3,3
,student7898,3,,4,3,4,,3,4,4,4,5,5,4,3,4,4,3,5,2,2,4,3,1,4,2,4,4,4,3,3,3,3,2,4,2,2,3,4,5,4,5,4,2,2,4,5,5
,student2859,,,,3,2,2,2,,2,2,5,,,,,,,4,1,2,5,5,2,2,4,4,5,3,4,5,4,3,4,4,3,3,3,5,5,5,3,3,4,3,1,4,4
,student5611,2,,3,3,3,3,4,4,4,3,4,3,4,4,3,3,3,5,2,3,4,2,3,1,3,3,3,2,4,5,3,2,4,2,3,3,3,3,3,3,5,4,4,2,2,3,3
y,student9804,3,4,4,2,4,5,3,4,5,2,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,4,5,5,3,5,5,3,2,4,5,2,4,5,4,4,5,4,5,3,2,5,5
y,student4917,5,2,4,4,4,5,1,2,3,2,4,3,5,5,5,5,5,5,3,1,3,5,5,5,4,5,5,5,4,5,3,3,3,5,4,3,3,2,4,5,5,5,5,5,4,3,3
,student2039,,,,4,5,3,5,4,4,5,5,3,4,3,4,4,4,4,4,3,4,5,4,5,4,5,5,5,4,5,3,3,3,5,4,3,3,2,4,5,5,5,5,5,4,3,3